Producto,Marca,Precio,Tienda,Fecha,Medidas,Material,Cantidad,Venta agrupada
MACETERO FLORIDIS AMSTERDAM NEGRO 44CM DE ALTO,FLORIDIS,34990,Paris,11-02-2026,44CM,,1,0
MACETERO AZUL M,SARAH MILLER,17990,Paris,11-02-2026,M,,1,0
MACETERO 46CM GRAFIATO CONICO KD9952,SAN MARINO,12900,Paris,11-02-2026,46CM,,1,0
MACETERO COLOR CEMENTO NATURAL RAY 30X40 CM,MACETEROS RAYUN,37990,Paris,11-02-2026,30X40,CEMENTO,1,0
MACETERO FLORIDIS ZURIQUE BEIGE 34CM CON PLATO,FLORIDIS,35990,Paris,11-02-2026,34CM,,1,0
MACETERO FLORIDIS ZURIQUE NEGRO 34CM CON PLATO,FLORIDIS,35990,Paris,11-02-2026,34CM,,1,0
MACETA DECORATIVA BELICE PEQUENA SOPORTE,MALLORCA,10990,Paris,11-02-2026,Sin medidas,,1,0
MACETERO COBA 25X19 CM,MACETEROS RAYUN,24990,Paris,11-02-2026,25X19,,1,0
MACETERO MACETA DE CERAMICA BLANCO TEXTURA ACANALADA,FLIPEREX,5990,Paris,11-02-2026,Sin medidas,CERAMICA,1,0
MACETERO DECORATIVO DE GATO AMARILLO,PRINTS PATRO,7990,Paris,11-02-2026,Sin medidas,,1,0
MACETERO CEMENTO CILINDRO L,DECOGREEN,19990,Paris,11-02-2026,L,CEMENTO,1,0
MACETERO DE CERAMICA BLANCO MATE LINEAS DECORATIVAS MACETA M,FLIPEREX,9900,Paris,11-02-2026,M,CERAMICA,1,0
MACETERO 60CM GRAFIATO CONICO KD9953,SAN MARINO,18900,Paris,11-02-2026,60CM,,1,0
MACETERO COBA 52X45 CM XL,MACETEROS RAYUN,69990,Paris,11-02-2026,52X45,,1,0
MACETERO ROTOMOLDEADO MUNA53 GRAFITO MATE (53CMX55CM),POTTERY,69990,Paris,11-02-2026,53CM,,1,0
MACETERO MACETA DISENO RAYAS ENVEJECIDO DE PLASTICO BLANCO L,FLIPEREX,19900,Paris,11-02-2026,L,PLASTICO,1,0
MACETERO FLORIDIS AMSTERDAM 65CM DE ALTO,FLORIDIS,45990,Paris,11-02-2026,65CM,,1,0
PORTA MACETERO PEDESTAL MACETA PLANTAS BLANCO DORADO,FLIPEREX,24990,Paris,11-02-2026,Sin medidas,,1,0
MACETERO - DISENO PERRO,PRINTS PATRO,4990,Paris,11-02-2026,Sin medidas,,1,0
FLORERO MACETERO PORCELANA + PLANTA ARTIFICIAL,EKOL,14990,Paris,11-02-2026,Sin medidas,PORCELANA,1,0
MACETERO GRANDE NAZCA 40 PLATA,POTTERY,39990,Paris,11-02-2026,Sin medidas,,1,0
MACETERO TEJIDO PORTA MACETA RUSTICO BEIGE Y BLANCO MEDIANO,DECODECO,17990,Paris,11-02-2026,Sin medidas,,1,0
MACETERO REDONDO ESTILO PIEDRA,BRIC,19990,Paris,11-02-2026,Sin medidas,,1,0
MACETERO OCTOGONAL DORADO S,DECOGREEN,10990,Paris,11-02-2026,S,,1,0
MACETA MACETERO MOLDE PLASTICO CIRCULAR ESTILO PIEDRA,REYPLAST,16990,Paris,11-02-2026,Sin medidas,PLASTICO,1,0
MACETERO LUNA 29X35CM,MACETEROS RAYUN,29990,Paris,11-02-2026,29X35,,1,0
SET 2 MACETEROS OCTOGON S+M,DECOGREEN,28990,Paris,11-02-2026,S,,2,1
MACETA DECORATIVA LAUSANNA,MALLORCA,10990,Paris,11-02-2026,Sin medidas,,1,0
MACETERO DE CERAMICA GRIS MATE TEXTURA ACANALADA S,FLIPEREX,5990,Paris,11-02-2026,S,CERAMICA,1,0
MACETA COLGANTE MACETERO COLGANTE DE RESINA CANASTO REDONDO V,DECODECO,10990,Paris,11-02-2026,Sin medidas,,1,0
